 20.01        55   177828.   322.110   322.110   317.432   298.590   153.619    63.237    27.139
 20.01        56   199526.   346.332   346.332   341.251   320.802   163.900    66.488    27.944
 20.02         1     2089.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02         2     2188.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02         3     2291.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02         4     2399.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02         5     2512.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02         6     2630.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02         7     2754.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02         8     2884.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02         9     3020.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        10     3162.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        11     3311.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        12     3467.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        13     3631.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        14     3802.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        15     3981.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        16     4169.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        17     4365.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        18     4571.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        19     4786.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        20     5012.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        21     5370.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        22     5754.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        23     6166.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        24     6607.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        25     7079.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        26     7586.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        27     8128.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        28     8710.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        29     9333.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        30    10000.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        31    11220.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        32    12589.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        33    14125.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        34    15849.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        35    17783.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        36    19953.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        37    22387.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        38    25119.     1.000     1.000     1.000     1.000     1.000     1.000     1.000
 20.02        39    28184.     1.001     1.001     1.001     1.001     1.001     1.001     1.001
 20.02        40    31623.     1.003     1.003     1.003     1.003     1.003     1.003     1.003
 20.02        41    35481.     1.010     1.010     1.010     1.010     1.010     1.010     1.010
 20.02        42    39811.     1.029     1.029     1.029     1.029     1.029     1.028     1.027
 20.02        43    44668.     1.076     1.076     1.076     1.076     1.076     1.072     1.068
 20.02        44    50119.     1.189     1.189     1.189     1.189     1.189     1.171     1.156
 20.02        45    56234.     1.448     1.448     1.448     1.448     1.448     1.386     1.336
 20.02        46    63096.     2.015     2.015     2.015     2.015     2.015     1.829     1.679
 20.02        47    70795.     3.192     3.192     3.192     3.192     3.192     2.692     2.302
 20.02        48    79433.     5.496     5.496     5.496     5.496     5.495     4.291     3.371
 20.02        49    89125.     9.727     9.727     9.727     9.727     9.726     7.090     5.113
 20.02        50   100000.    17.025    17.025    17.025    17.025    17.022    11.723     7.814
 20.02        51   112202.    28.861    28.861    28.861    28.861    28.855    18.980    11.805
 20.02        52   125893.    46.977    46.977    46.977    46.977    46.967    29.767    17.438
 20.02        53   141254.    73.250    73.250    73.250    73.250    73.233    45.030    25.055
 20.02        54   158489.   109.508   109.508   109.508   109.508   109.482    65.657    34.949
 20.02        55   177828.   157.338   157.338   157.338   157.338   157.299    92.388    47.334
 20.02        56   199526.   217.901   217.901   217.901   217.901   217.847   125.722    62.321
 20.03         1     2089.     4.234     4.234     4.234     4.234     4.234     4.234     4.234
 20.03         2     2188.     4.257     4.257     4.257     4.257     4.257     4.257     4.257
 20.03         3     2291.     4.282     4.282     4.282     4.282     4.282     4.282     4.282
 20.03         4     2399.     4.308     4.308     4.308     4.308     4.308     4.308     4.308
 20.03         5     2512.     4.335     4.335     4.335     4.335     4.335     4.335     4.335
 20.03         6     2630.     4.363     4.363     4.363     4.363     4.363     4.363     4.363
 20.03         7     2754.     4.392     4.392     4.392     4.392     4.392     4.392     4.392
 20.03         8     2884.     4.422     4.422     4.422     4.422     4.422     4.422     4.422
 20.03         9     3020.     4.453     4.453     4.453     4.453     4.453     4.453     4.453
 20.03        10     3162.     4.484     4.484     4.484     4.484     4.484     4.484     4.484
 20.03        11     3311.     4.516     4.516     4.516     4.516     4.516     4.516     4.516
 20.03        12     3467.     4.548     4.548     4.548     4.548     4.548     4.548     4.548
 20.03        13     3631.     4.581     4.581     4.581     4.581     4.581     4.581     4.581
 20.03        14     3802.     4.615     4.615     4.615     4.615     4.615     4.615     4.615
 20.03        15     3981.     4.648     4.648     4.648     4.648     4.648     4.648     4.648
 20.03        16     4169.     4.682     4.682     4.682     4.682     4.682     4.682     4.682
 20.03        17     4365.     4.716     4.716     4.716     4.716     4.716     4.716     4.716
 20.03        18     4571.     4.749     4.749     4.749     4.749     4.749     4.749     4.749
 20.03        19     4786.     4.783     4.783     4.783     4.783     4.783     4.783     4.783
 20.03        20     5012.     4.817     4.817     4.817     4.817     4.817     4.817     4.817
 20.03        21     5370.     4.867     4.867     4.867     4.867     4.867     4.867     4.867
 20.03        22     5754.     4.917     4.917     4.917     4.917     4.917     4.917     4.917
 20.03        23     6166.     4.966     4.966     4.966     4.966     4.966     4.966     4.966
 20.03        24     6607.     5.014     5.014     5.014     5.014     5.014     5.014     5.014
 20.03        25     7079.     5.061     5.061     5.061     5.061     5.061     5.061     5.061
 20.03        26     7586.     5.107     5.107     5.107     5.107     5.107     5.107     5.107
 20.03        27     8128.     5.152     5.152     5.152     5.152     5.152     5.152     5.152
 20.03        28     8710.     5.195     5.195     5.195     5.195     5.195     5.195     5.195
 20.03        29     9333.     5.237     5.237     5.237     5.237     5.237     5.237     5.237
 20.03        30    10000.     5.277     5.277     5.277     5.277     5.277     5.277     5.277
 20.03        31    11220.     5.341     5.341     5.341     5.341     5.341     5.341     5.341
 20.03        32    12589.     5.400     5.400     5.400     5.400     5.400     5.400     5.400
 20.03        33    14125.     5.456     5.456     5.456     5.456     5.456     5.456     5.456
 20.03        34    15849.     5.507     5.507     5.507     5.507     5.507     5.507     5.507
 20.03        35    17783.     5.554     5.554     5.554     5.554     5.554     5.554     5.554
 20.03        36    19953.     5.597     5.597     5.597     5.597     5.597     5.597     5.597
 20.03        37    22387.     5.637     5.637     5.637     5.637     5.637     5.637     5.637
 20.03        38    25119.     5.674     5.674     5.674     5.674     5.674     5.674     5.674
 20.03        39    28184.     5.708     5.708     5.708     5.708     5.708     5.708     5.708
 20.03        40    31623.     5.743     5.743     5.743     5.743     5.743     5.743     5.743
 20.03        41    35481.     5.782     5.782     5.782     5.782     5.782     5.782     5.782
 20.03        42    39811.     5.837     5.837     5.837     5.837     5.837     5.837     5.837
 20.03        43    44668.     5.926     5.926     5.926     5.926     5.926     5.926     5.926
 20.03        44    50119.     6.084     6.084     6.084     6.084     6.084     6.083     6.083
 20.03        45    56234.     6.374     6.374     6.374     6.374     6.373     6.372     6.368
 20.03        46    63096.     6.909     6.909     6.909     6.908     6.906     6.902     6.884
 20.03        47    70795.     7.897     7.897     7.896     7.895     7.886     7.872     7.809
 20.03        48    79433.     9.718     9.718     9.717     9.712     9.683     9.637     9.440
 20.03        49    89125.    13.044    13.044    13.041    13.027    12.942    12.813    12.266
 20.03        50   100000.    18.991    18.991    18.982    18.946    18.727    18.400    17.045
 20.03        51   112202.    29.280    29.280    29.258    29.174    28.669    27.918    24.875
 20.03        52   125893.    46.353    46.353    46.308    46.128    45.061    43.487    37.230
 20.03        53   141254.    73.396    73.396    73.306    72.954    70.877    67.832    55.938
 20.03        54   158489.   114.209   114.209   114.046   113.406   109.642   104.162    83.077
 20.03        55   177828.   172.942   172.942   172.665   171.574   165.183   155.929   120.806
 20.03        56   199526.   253.710   253.710   253.264   251.510   241.265   226.503   171.153
 20.04         1     2089.     5.678     5.678     5.678     5.678     5.678     5.678     5.678
 20.04         2     2188.     5.733     5.733     5.733     5.733     5.733     5.733     5.733
 20.04         3     2291.     5.790     5.790     5.790     5.790     5.790     5.790     5.790
 20.04         4     2399.     5.849     5.849     5.849     5.849     5.849     5.849     5.849
 20.04         5     2512.     5.910     5.910     5.910     5.910     5.910     5.910     5.910
 20.04         6     2630.     5.972     5.972     5.972     5.972     5.972     5.972     5.972
 20.04         7     2754.     6.035     6.035     6.035     6.035     6.035     6.035     6.035
 20.04         8     2884.     6.099     6.099     6.099     6.099     6.099     6.099     6.099
 20.04         9     3020.     6.165     6.165     6.165     6.165     6.165     6.165     6.165
 20.04        10     3162.     6.231     6.231     6.231     6.231     6.231     6.231     6.231
 20.04        11     3311.     6.298     6.298     6.298     6.298     6.298     6.298     6.298
 20.04        12     3467.     6.365     6.365     6.365     6.365     6.365     6.365     6.365
 20.04        13     3631.     6.433     6.433     6.433     6.433     6.433     6.433     6.433
 20.04        14     3802.     6.501     6.501     6.501     6.501     6.501     6.501     6.501
 20.04        15     3981.     6.570     6.570     6.570     6.570     6.570     6.570     6.570
 20.04        16     4169.     6.639     6.639     6.639     6.639     6.639     6.639     6.639
 20.04        17     4365.     6.708     6.708     6.708     6.708     6.708     6.708     6.708
 20.04        18     4571.     6.777     6.777     6.777     6.777     6.777     6.777     6.777
 20.04        19     4786.     6.847     6.847     6.847     6.847     6.847     6.847     6.847
 20.04        20     5012.     6.917     6.917     6.917     6.917     6.917     6.917     6.917
 20.04        21     5370.     7.023     7.023     7.023     7.023     7.023     7.023     7.023
 20.04        22     5754.     7.130     7.130     7.130     7.130     7.130     7.130     7.130
 20.04        23     6166.     7.239     7.239     7.239     7.239     7.239     7.239     7.239
 20.04        24     6607.     7.350     7.350     7.350     7.350     7.350     7.350     7.350
 20.04        25     7079.     7.463     7.463     7.463     7.463     7.463     7.463     7.463
 20.04        26     7586.     7.579     7.579     7.579     7.579     7.579     7.579     7.579
 20.04        27     8128.     7.699     7.699     7.699     7.699     7.699     7.699     7.699
 20.04        28     8710.     7.822     7.822     7.822     7.822     7.822     7.822     7.822
 20.04        29     9333.     7.950     7.950     7.950     7.950     7.950     7.950     7.950
 20.04        30    10000.     8.082     8.082     8.082     8.082     8.082     8.082     8.082
 20.04        31    11220.     8.312     8.312     8.312     8.312     8.312     8.312     8.312
